id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21380476,Room Near Boston University and Harvard University,30563615,Mario,,Allston,42.351835580710585,-71.13239252267941,Private room,59,1,6,2018-04-11,0.52,1,0
21381823,Unique Studio in Downtown Crossing by Sonder,12243051,Sonder,,Chinatown,42.351257009931764,-71.06216501405983,Entire home/apt,242,2,4,2018-08-04,0.43,326,206
21382177,(40-12) Simple Studio in Beacon Hill,21184200,Paige,,Beacon Hill,42.36019511704881,-71.06728820068876,Entire home/apt,99,1,49,2018-10-09,4.30,42,126
21383446,Old school place in Boston's Little Italy,24997738,Anthony,,North End,42.363992028409996,-71.05670327816063,Entire home/apt,120,1,76,2018-09-26,6.50,2,130
21385601,Huge bedroom in luxury building with amazing view!,197715,Charlene,,West End,42.362333583818085,-71.06396839239405,Private room,99,2,42,2018-10-10,3.68,2,132
21385965,Boston-Bringham Circle and Long-Wood Medical R-1,154907516,Shedly,,Mission Hill,42.332796936713144,-71.10274433790131,Private room,45,1,21,2018-08-05,1.82,2,224
21393613,Spacious Private Room for Mid Dec - Jan in Boston,78368512,Mayank,,Brighton,42.341688718922754,-71.15414634940578,Private room,50,5,0,,,1,0
21408163,Brand New Townhouse in historic East Boston,14199135,Sean,,East Boston,42.386704332494055,-71.01062274483266,Private room,75,2,28,2018-09-30,2.39,1,74
21408454,Backbay Luxury Apartment Private Living Room Space,48903690,Li-Chen,,Fenway,42.34446072125508,-71.08804087915635,Private room,80,1,10,2018-09-09,2.73,1,0
21409374,Lovely Loft in Downtown Crossing by Sonder,12243051,Sonder,,Chinatown,42.35172581265602,-71.06169779942171,Entire home/apt,311,2,6,2018-08-18,0.72,326,178
21409887,Huge flat with best views of 4th of July fireworks,197715,Charlene,,West End,42.36429512477324,-71.063511531008,Entire home/apt,199,2,2,2018-06-08,0.41,2,6
21410674,Lovely 3BR in Brighton by Sonder,12243051,Sonder,,Brighton,42.33956796321971,-71.15819906344478,Entire home/apt,340,2,14,2018-08-11,1.22,326,13
21413584,Modern One Bedroom in the Seaport,80100053,Bret,,South Boston Waterfront,42.347533502191496,-71.03962696330827,Entire home/apt,170,2,0,,,1,0
21414431,Boston Elegance with free parking,9663343,Sarah,,Dorchester,42.30634337743605,-71.07815470999886,Private room,55,1,6,2018-09-22,0.51,3,350
21414884,2A BU Medical/NEU sunny cozy room,41932249,Ann,,Roxbury,42.33685099940975,-71.07823808874765,Private room,69,1,32,2018-10-08,2.71,12,61
21426462,Massive 3 BR South End Apt by Domio,91548283,Domio,,Roxbury,42.338173214156576,-71.08009435879916,Entire home/apt,199,3,42,2018-10-01,3.71,43,152
21428068,Master bedroom with private bath Heart of Fenway,120514355,Betty,,Fenway,42.3435476217724,-71.09556958890659,Private room,108,3,7,2018-10-08,0.60,1,29
21429119,Beautiful& apt.on Comm ave by Greenline B stop.,153963844,Kaan,,Allston,42.349585562575925,-71.12897773387907,Private room,99,1,69,2018-08-24,5.81,3,0
21434342,Modern room on Comm ave by Greenline B stop,153963844,Kaan,,Allston,42.35139467901843,-71.1309559873553,Private room,77,1,36,2018-08-27,3.05,3,40
21436675,Cozy bedroom,115267785,Alexes,,Allston,42.35842364521962,-71.12968981801603,Private room,89,1,20,2018-10-05,1.69,2,354
21436847,"Central JP—private 2 bdrm on quiet, wooded street",77158362,Karen,,Jamaica Plain,42.31470512419192,-71.1115430668262,Entire home/apt,160,3,35,2018-10-09,3.38,1,65
21438537,Sleek 1BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.351460246074964,-71.06296494604871,Entire home/apt,212,2,6,2018-07-03,0.53,326,206
21438702,Stunning 1BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35168437356049,-71.0629754668776,Entire home/apt,252,2,10,2018-09-19,0.92,326,210
21439352,"3 BR, 2 baths, 2 parking in Brighton, Boston, MA",155439794,MichelleY,,Brighton,42.35036593296588,-71.16607936446364,Entire home/apt,242,1,53,2018-09-30,4.98,1,87
21439599,Sweet room in Boston's Hemenway,110274232,加一,,Fenway,42.33995219636792,-71.09294348522562,Private room,75,1,5,2017-12-08,0.46,2,0
21440813,Clean and cool  private room,107363848,Akilah,,Roxbury,42.32310354977249,-71.07451936974697,Private room,75,1,49,2018-10-08,4.21,1,107
21444743,BACK BAY STUDIO ON MARLBOROUGH ST MONTLY RENTAL,155595193,Michelle,,Back Bay,42.353150746844065,-71.0761796887231,Entire home/apt,100,90,0,,,7,364
21445050,LUXURY BACK BAY STUDIO NEAR BERKLEY  90 day min,155595193,Michelle,,Fenway,42.34783141091764,-71.09046898156481,Entire home/apt,99,90,1,2017-11-17,0.09,7,365
21445137,BEACON HILL STUDIO BY MASS GENERAL HOSPITAL,155595193,Michelle,,Beacon Hill,42.35932636111609,-71.07030616285653,Entire home/apt,180,3,1,2018-06-20,0.26,7,344
21445237,North End one bedroom in Boston's Little Italy,155595193,Michelle,,Brighton,42.349890003231174,-71.15365312870459,Entire home/apt,179,4,0,,,7,360
21445242,Charlestown Nice 2 Bedroom Condo,1118374,Matthew,,Charlestown,42.37501353519246,-71.05280375977561,Entire home/apt,187,1,74,2018-09-23,6.51,38,278
21445568,North End One Bedroom - Amazing Location,1118374,Matthew,,North End,42.36295733208866,-71.05579793703545,Entire home/apt,127,1,10,2018-10-07,0.90,38,120
21447482,Close to Harvard Business School & BU 4Bed 2Bath,19548932,Joe,,Allston,42.35758248276483,-71.12835890953924,Entire home/apt,350,1,27,2018-09-16,2.84,14,296
21448276,"Allston Near BU/BC, green B and bus station",150777651,秋子,,Allston,42.353377111147545,-71.13129806172981,Entire home/apt,90,85,0,,,1,161
21448761,Private Bedroom and Bathroom in Charming South End,30221323,Brandon,,South End,42.34179782943239,-71.06963042632015,Private room,150,2,1,2017-11-19,0.09,2,0
21449127,Knarlestown in Charlestown,155648109,Knarlestown,,Charlestown,42.377979016395905,-71.06510037490891,Shared room,129,1,0,,,1,0
21454153,*Family*Tourist/Convention/Subway/Beach 130A,26704689,Mac,,South Boston,42.33476419898558,-71.0531309586838,Entire home/apt,275,2,22,2018-10-07,1.95,12,331
21459302,Grand Studio in Downtown Crossing by Sonder,12243051,Sonder,,Chinatown,42.35138597534456,-71.06219436708149,Entire home/apt,301,2,16,2018-08-13,1.53,326,188
21459629,"H5-6, 2 Private Rm, 2 min to T, 17 min to Downtown",30525952,Yueyang,,Dorchester,42.28159870789732,-71.06622870580236,Private room,180,1,2,2018-05-20,0.35,8,341
21460989,Charming Spacious 1BR in Back Bay Marlborough St,15189962,Zeki,,Back Bay,42.35141441119273,-71.08033521589577,Entire home/apt,235,2,12,2018-09-30,1.03,1,184
21470225,Modernly Plush Studio in The heart of Boston!! WOW,30283594,Kara,,Jamaica Plain,42.32879072393743,-71.11129006898328,Entire home/apt,128,3,1,2018-08-25,0.63,170,259
21471048,Cozy Room 3,155919128,Erico,,Dorchester,42.30703255468751,-71.08013401973271,Private room,44,1,7,2018-10-02,5.00,3,119
21473358,Pet Friendly Apt Near the Redline with Water View!,12616158,James,,Dorchester,42.305217170087346,-71.06314334789795,Entire home/apt,235,2,1,2018-09-16,1,1,75
21473721,"(211-31) Sun-filled, Fenway Apartment!",21184200,Paige,,Fenway,42.34199886339019,-71.1012534580567,Entire home/apt,99,1,45,2018-09-25,3.98,42,261
21477647,"Great Location,near T,Zip car pick up & Blue Hills",152514670,Kianna,,Mattapan,42.271573576846954,-71.08553779445475,Entire home/apt,49,2,45,2018-10-07,3.90,1,156
